year,country_name,song_count,x,y
1910,United States,12,-112.46167057,45.67955203
1951,United States,1,-112.46167057,45.67955203
1958,United States,1,-112.46167057,45.67955203
1960,United States,2,-112.46167057,45.67955203
1963,United States,1,-112.46167057,45.67955203
1970,United States,6,-112.46167057,45.67955203
1972,United States,12,-112.46167057,45.67955203
1976,United States,1,-112.46167057,45.67955203
1977,United States,1,-112.46167057,45.67955203
1980,United Kingdom,1,-2.86563362,54.12387156
1983,United States,6,-112.46167057,45.67955203
1984,United Kingdom,28,-2.86563362,54.12387156
1984,United States,5,-112.46167057,45.67955203
1985,Canada,20,-98.30775723,61.36206827
1985,United Kingdom,13,-2.86563362,54.12387156
1986,Germany,8,10.38577693,51.10697903
1986,United Kingdom,7,-2.86563362,54.12387156
1986,United States,6,-112.46167057,45.67955203
1987,Canada,5,-98.30775723,61.36206827
1987,United Kingdom,7,-2.86563362,54.12387156
1987,United States,25,-112.46167057,45.67955203
1988,Belgium,6,4.64064572,50.63981435
1988,Germany,16,10.38577693,51.10697903
1988,Italy,2,12.07000946,42.79663568
1988,United Kingdom,11,-2.86563362,54.12387156
1988,United States,27,-112.46167057,45.67955203
1989,Canada,10,-98.30775723,61.36206827
1989,Germany,14,10.38577693,51.10697903
1989,United Kingdom,6,-2.86563362,54.12387156
1989,United States,44,-112.46167057,45.67955203
1990,Belgium,1,4.64064572,50.63981435
1990,Canada,4,-98.30775723,61.36206827
1990,France,2,2.53618475,46.18700581
1990,Germany,10,10.38577693,51.10697903
1990,United Kingdom,21,-2.86563362,54.12387156
1990,United States,24,-112.46167057,45.67955203
1991,Belgium,17,4.64064572,50.63981435
1991,Canada,10,-98.30775723,61.36206827
1991,United Kingdom,2,-2.86563362,54.12387156
1991,United States,90,-112.46167057,45.67955203
1992,Ireland,104,-8.13793167,53.1754426
1992,Italy,2,12.07000946,42.79663568
1992,Jamaica,1,-77.31482556,18.15695476
1992,United Kingdom,31,-2.86563362,54.12387156
1992,United States,41,-112.46167057,45.67955203
1993,Belgium,3,4.64064572,50.63981435
1993,Canada,1,-98.30775723,61.36206827
1993,United Kingdom,4,-2.86563362,54.12387156
1993,United States,140,-112.46167057,45.67955203
1994,Belgium,4,4.64064572,50.63981435
1994,Germany,8,10.38577693,51.10697903
1994,Ireland,1,-8.13793167,53.1754426
1994,United Kingdom,9,-2.86563362,54.12387156
1994,United States,38,-112.46167057,45.67955203
1995,Belgium,8,4.64064572,50.63981435
1995,Denmark,3,10.02799418,55.98126391
1995,Finland,5,26.27467024,64.49884844
1995,France,7,2.53618475,46.18700581
1995,United Kingdom,21,-2.86563362,54.12387156
1995,United States,123,-112.46167057,45.67955203
1996,Belgium,9,4.64064572,50.63981435
1996,Denmark,4,10.02799418,55.98126391
1996,Finland,15,26.27467024,64.49884844
1996,Germany,13,10.38577693,51.10697903
1996,Italy,2,12.07000946,42.79663568
1996,Jamaica,9,-77.31482556,18.15695476
1996,United Kingdom,8,-2.86563362,54.12387156
1996,United States,68,-112.46167057,45.67955203
1997,Belgium,23,4.64064572,50.63981435
1997,Canada,1,-98.30775723,61.36206827
1997,Denmark,1,10.02799418,55.98126391
1997,Japan,2,138.03089212,37.59230065
1997,Sweden,5,16.74371219,62.79232016
1997,United Kingdom,71,-2.86563362,54.12387156
1997,United States,91,-112.46167057,45.67955203
1998,Denmark,1,10.02799418,55.98126391
1998,Finland,9,26.27467024,64.49884844
1998,France,4,2.53618475,46.18700581
1998,Germany,27,10.38577693,51.10697903
1998,Ireland,10,-8.13793167,53.1754426
1998,Jamaica,1,-77.31482556,18.15695476
1998,United Kingdom,187,-2.86563362,54.12387156
1998,United States,220,-112.46167057,45.67955203
1999,Austria,1,14.12647809,47.58549847
1999,Brazil,5,-53.09783199,-10.78777567
1999,France,1,2.53618475,46.18700581
1999,Germany,2,10.38577693,51.10697903
1999,Japan,1,138.03089212,37.59230065
1999,New Zealand,2,171.48495391,-41.81112825
1999,United Kingdom,129,-2.86563362,54.12387156
1999,United States,171,-112.46167057,45.67955203
2000,Austria,9,14.12647809,47.58549847
2000,Finland,9,26.27467024,64.49884844
2000,Italy,6,12.07000946,42.79663568
2000,Japan,1,138.03089212,37.59230065
2000,United Kingdom,114,-2.86563362,54.12387156
2000,United States,270,-112.46167057,45.67955203
2001,Belgium,9,4.64064572,50.63981435
2001,Finland,45,26.27467024,64.49884844
2001,France,2,2.53618475,46.18700581
2001,Germany,2,10.38577693,51.10697903
2001,Ireland,13,-8.13793167,53.1754426
2001,Italy,2,12.07000946,42.79663568
2001,Sweden,10,16.74371219,62.79232016
2001,United Kingdom,92,-2.86563362,54.12387156
2001,United States,253,-112.46167057,45.67955203
2002,Australia,1,134.49099877,-25.73288736
2002,Canada,15,-98.30775723,61.36206827
2002,France,10,2.53618475,46.18700581
2002,Germany,18,10.38577693,51.10697903
2002,Japan,5,138.03089212,37.59230065
2002,Russia,1,96.68657347,61.98052168
2002,Sweden,10,16.74371219,62.79232016
2002,Turkey,50,35.16895529,39.06160342
2002,United Kingdom,267,-2.86563362,54.12387156
2002,United States,367,-112.46167057,45.67955203
2003,Finland,18,26.27467024,64.49884844
2003,France,18,2.53618475,46.18700581
2003,Germany,1,10.38577693,51.10697903
2003,Jamaica,4,-77.31482556,18.15695476
2003,Japan,16,138.03089212,37.59230065
2003,South Africa,1,25.08388384,-29.0003377
2003,Turkey,40,35.16895529,39.06160342
2003,United Kingdom,96,-2.86563362,54.12387156
2003,United States,507,-112.46167057,45.67955203
2004,Brazil,1,-53.09783199,-10.78777567
2004,Canada,16,-98.30775723,61.36206827
2004,France,2,2.53618475,46.18700581
2004,Germany,15,10.38577693,51.10697903
2004,Ireland,1,-8.13793167,53.1754426
2004,Jamaica,1,-77.31482556,18.15695476
2004,Japan,3,138.03089212,37.59230065
2004,Netherlands,33,5.2814735,52.10080804
2004,Norway,1,15.34832968,68.75014407
2004,Saint Vincent and The Grenadines,13,,
2004,Slovakia,1,19.47905212,48.70547175
2004,Sweden,19,16.74371219,62.79232016
2004,Turkey,40,35.16895529,39.06160342
2004,United Kingdom,76,-2.86563362,54.12387156
2004,United States,599,-112.46167057,45.67955203
2005,Austria,2,14.12647809,47.58549847
2005,Canada,16,-98.30775723,61.36206827
2005,Denmark,15,10.02799418,55.98126391
2005,France,1,2.53618475,46.18700581
2005,Germany,2,10.38577693,51.10697903
2005,Ireland,3,-8.13793167,53.1754426
2005,Italy,3,12.07000946,42.79663568
2005,Mexico,11,-102.52345042,23.94753932
2005,Sweden,16,16.74371219,62.79232016
2005,United Kingdom,652,-2.86563362,54.12387156
2005,United States,1176,-112.46167057,45.67955203
2006,Australia,117,134.49099877,-25.73288736
2006,Austria,1,14.12647809,47.58549847
2006,Belgium,96,4.64064572,50.63981435
2006,Brazil,1,-53.09783199,-10.78777567
2006,Canada,88,-98.30775723,61.36206827
2006,Denmark,6,10.02799418,55.98126391
2006,Finland,45,26.27467024,64.49884844
2006,France,4,2.53618475,46.18700581
2006,Germany,3,10.38577693,51.10697903
2006,Italy,2,12.07000946,42.79663568
2006,Jamaica,1,-77.31482556,18.15695476
2006,Japan,7,138.03089212,37.59230065
2006,Mexico,3,-102.52345042,23.94753932
2006,Netherlands,173,5.2814735,52.10080804
2006,Philippines,2,122.88392153,11.77539737
2006,Saint Vincent and The Grenadines,1,,
2006,Slovakia,9,19.47905212,48.70547175
2006,Sweden,46,16.74371219,62.79232016
2006,Turkey,30,35.16895529,39.06160342
2006,United Kingdom,279,-2.86563362,54.12387156
2006,United States,1091,-112.46167057,45.67955203
2007,Australia,9,134.49099877,-25.73288736
2007,Belgium,1,4.64064572,50.63981435
2007,Bosnia and Herzegovina,26,17.76876588,44.17449912
2007,Canada,3,-98.30775723,61.36206827
2007,Finland,130,26.27467024,64.49884844
2007,France,5,2.53618475,46.18700581
2007,Germany,20,10.38577693,51.10697903
2007,Ireland,3,-8.13793167,53.1754426
2007,Italy,5,12.07000946,42.79663568
2007,Jamaica,9,-77.31482556,18.15695476
2007,Japan,15,138.03089212,37.59230065
2007,Netherlands,1,5.2814735,52.10080804
2007,New Zealand,1,171.48495391,-41.81112825
2007,Puerto Rico,3,-66.47307314,18.22812711
2007,Sweden,10,16.74371219,62.79232016
2007,United Kingdom,351,-2.86563362,54.12387156
2007,United States,1231,-112.46167057,45.67955203
2008,Australia,3,134.49099877,-25.73288736
2008,Canada,7,-98.30775723,61.36206827
2008,Denmark,12,10.02799418,55.98126391
2008,Finland,120,26.27467024,64.49884844
2008,France,2,2.53618475,46.18700581
2008,Germany,25,10.38577693,51.10697903
2008,Hungary,7,19.39559381,47.16277712
2008,Ireland,2,-8.13793167,53.1754426
2008,Jamaica,14,-77.31482556,18.15695476
2008,Japan,1,138.03089212,37.59230065
2008,Netherlands,144,5.2814735,52.10080804
2008,Philippines,9,122.88392153,11.77539737
2008,Poland,4,19.39011841,52.12759537
2008,Spain,5,-3.64754874,40.24448626
2008,Sweden,332,16.74371219,62.79232016
2008,United Kingdom,266,-2.86563362,54.12387156
2008,United States,1340,-112.46167057,45.67955203
2009,Argentina,1,-65.17980881,-35.38135347
2009,Australia,1,134.49099877,-25.73288736
2009,Belgium,4,4.64064572,50.63981435
2009,Canada,89,-98.30775723,61.36206827
2009,Finland,50,26.27467024,64.49884844
2009,France,10,2.53618475,46.18700581
2009,Germany,5,10.38577693,51.10697903
2009,Italy,5,12.07000946,42.79663568
2009,Jamaica,15,-77.31482556,18.15695476
2009,Japan,44,138.03089212,37.59230065
2009,Moldova,1,28.45673742,47.19499323
2009,Netherlands,28,5.2814735,52.10080804
2009,Philippines,6,122.88392153,11.77539737
2009,Saint Vincent and The Grenadines,1,,
2009,South Africa,8,25.08388384,-29.0003377
2009,Sweden,2,16.74371219,62.79232016
2009,United Kingdom,163,-2.86563362,54.12387156
2009,United States,1479,-112.46167057,45.67955203
2010,Australia,11,134.49099877,-25.73288736
2010,Belgium,4,4.64064572,50.63981435
2010,Canada,65,-98.30775723,61.36206827
2010,Cuba,1,-79.01606913,21.62290023
2010,Germany,64,10.38577693,51.10697903
2010,Ireland,18,-8.13793167,53.1754426
2010,Jamaica,5,-77.31482556,18.15695476
2010,Netherlands,45,5.2814735,52.10080804
2010,Philippines,1,122.88392153,11.77539737
2010,Poland,2,19.39011841,52.12759537
2010,Spain,1,-3.64754874,40.24448626
2010,Sweden,11,16.74371219,62.79232016
2010,United Kingdom,105,-2.86563362,54.12387156
2010,United States,855,-112.46167057,45.67955203
2011,Australia,5,134.49099877,-25.73288736
2011,Bosnia and Herzegovina,11,17.76876588,44.17449912
2011,Brazil,1,-53.09783199,-10.78777567
2011,Canada,17,-98.30775723,61.36206827
2011,Denmark,9,10.02799418,55.98126391
2011,Finland,60,26.27467024,64.49884844
2011,Germany,2,10.38577693,51.10697903
2011,Greece,8,22.95556207,39.07466973
2011,Italy,1,12.07000946,42.79663568
2011,Japan,1,138.03089212,37.59230065
2011,Netherlands,18,5.2814735,52.10080804
2011,Poland,3,19.39011841,52.12759537
2011,South Africa,80,25.08388384,-29.0003377
2011,Sweden,131,16.74371219,62.79232016
2011,United Kingdom,176,-2.86563362,54.12387156
2011,United States,848,-112.46167057,45.67955203
2012,Australia,10,134.49099877,-25.73288736
2012,Belgium,1,4.64064572,50.63981435
2012,Canada,17,-98.30775723,61.36206827
2012,Italy,19,12.07000946,42.79663568
2012,Poland,6,19.39011841,52.12759537
2012,South Africa,8,25.08388384,-29.0003377
2012,Sweden,2,16.74371219,62.79232016
2012,United Kingdom,193,-2.86563362,54.12387156
2012,United States,167,-112.46167057,45.67955203
2013,Australia,20,134.49099877,-25.73288736
2013,Belgium,56,4.64064572,50.63981435
2013,Brazil,5,-53.09783199,-10.78777567
2013,Canada,8,-98.30775723,61.36206827
2013,Finland,40,26.27467024,64.49884844
2013,Germany,73,10.38577693,51.10697903
2013,Jamaica,2,-77.31482556,18.15695476
2013,Netherlands,33,5.2814735,52.10080804
2013,Norway,3,15.34832968,68.75014407
2013,Poland,1,19.39011841,52.12759537
2013,South Africa,8,25.08388384,-29.0003377
2013,Sweden,55,16.74371219,62.79232016
2013,United Kingdom,41,-2.86563362,54.12387156
2013,United States,401,-112.46167057,45.67955203
2014,Australia,1,134.49099877,-25.73288736
2014,Belgium,8,4.64064572,50.63981435
2014,Brazil,40,-53.09783199,-10.78777567
2014,Canada,10,-98.30775723,61.36206827
2014,Denmark,1,10.02799418,55.98126391
2014,Finland,5,26.27467024,64.49884844
2014,France,4,2.53618475,46.18700581
2014,Germany,44,10.38577693,51.10697903
2014,India,3,79.61197355,22.88578035
2014,Italy,39,12.07000946,42.79663568
2014,Moldova,5,28.45673742,47.19499323
2014,Netherlands,6,5.2814735,52.10080804
2014,Poland,2,19.39011841,52.12759537
2014,Puerto Rico,2,-66.47307314,18.22812711
2014,Sweden,56,16.74371219,62.79232016
2014,United Kingdom,105,-2.86563362,54.12387156
2014,United States,415,-112.46167057,45.67955203
2015,Australia,3,134.49099877,-25.73288736
2015,Belgium,583,4.64064572,50.63981435
2015,Canada,29,-98.30775723,61.36206827
2015,Denmark,65,10.02799418,55.98126391
2015,Finland,55,26.27467024,64.49884844
2015,Germany,81,10.38577693,51.10697903
2015,Ireland,42,-8.13793167,53.1754426
2015,Japan,9,138.03089212,37.59230065
2015,Moldova,55,28.45673742,47.19499323
2015,Netherlands,15,5.2814735,52.10080804
2015,Poland,15,19.39011841,52.12759537
2015,South Africa,16,25.08388384,-29.0003377
2015,South Korea,9,127.83916926,36.3852463
2015,Sweden,11,16.74371219,62.79232016
2015,United Kingdom,105,-2.86563362,54.12387156
2015,United States,974,-112.46167057,45.67955203
2016,Bosnia and Herzegovina,2,17.76876588,44.17449912
2016,Germany,2,10.38577693,51.10697903
2016,Italy,1,12.07000946,42.79663568
2016,Jamaica,2,-77.31482556,18.15695476
2016,Netherlands,2,5.2814735,52.10080804
2016,Saint Vincent and The Grenadines,1,,
2016,United Kingdom,208,-2.86563362,54.12387156
2016,United States,83,-112.46167057,45.67955203
2017,Canada,39,-98.30775723,61.36206827
2017,Jamaica,1,-77.31482556,18.15695476
2017,Netherlands,1,5.2814735,52.10080804
2017,United Kingdom,1,-2.86563362,54.12387156
2017,United States,8,-112.46167057,45.67955203
